ID,split
4007,val
4031,test
4034,train
5003,train
5004,train
5005,train
5170,train
6030,test
6174,train
7033,train
7034,val
10006,val
10007,train
10030,val
10177,train
14004,val
14172,test
14173,test
16003,test
16004,train
18030,train
18031,val
18185,train
22004,train
22173,test
23030,train
23031,train
39003,train
39030,train
39171,test
39174,train
40003,train
40004,train
40005,val
40170,train
40173,train
41008,train
45030,test
47004,val
47005,val
47031,train
47032,test
47170,test
47174,test
50004,val
50005,test
50030,train
50171,val
51030,train
51171,train
53007,train
53008,val
53009,test
53010,train
53191,val
57005,train
60030,val
60031,train
60032,test
60181,train
68003,val
68175,test
75005,test
75030,train
75171,train
84005,test
84177,test
89006,val
90003,val
90004,train
90171,train
92003,val
96005,train
96173,train
99171,val
100030,train
105030,test
113030,val
113172,val
117003,test
117030,test
117172,train
121173,train
122003,test
122004,test
122173,train
126003,val
126177,train
127030,train
127031,train
128003,val
128004,train
128005,test
128006,test
128172,train
129031,train
129196,train
131030,train
138030,test
138031,test
139002,train
145003,val
145170,val
151030,train
156030,train
156170,train
161004,test
165030,val
172031,test
174175,train
178171,val
180171,val
181171,train
195003,train
195170,train
198173,train
200005,val
214003,test
214170,val
220002,val
220170,train
221031,train
221171,train
222031,train
222032,test
223030,val
223031,test
223173,val
227003,test
236003,val
236030,train
236173,train
244030,train
250003,train
250004,test
250171,val
257030,train
257174,val
257175,val
263030,val
263175,test
263182,train
265030,test
266030,val
266173,val
277031,train
277176,val
277191,test
280004,test
280005,val
280172,val
284004,train
284170,train
297011,train
297031,train
297177,train
297182,train
301030,test
301032,train
301177,test
302030,val
303030,train
306003,test
312030,val
312031,val
317030,train
317173,val
319003,val
319004,train
319172,train
320170,train
321005,train
322003,val
327003,train
327030,test
327031,train
327171,train
327172,test
331005,val
343030,val
343171,val
343172,test
344005,train
344006,val
344178,train
344183,train
350003,test
350170,train
351006,test
351173,val
352030,test
352031,test
356003,val
356177,val
361004,test
361175,train
368003,test
368030,val
375004,val
376003,train
376004,train
377004,test
377170,train
404174,train
409030,val
409178,train
419004,test
419030,train
419031,test
423173,train
431004,val
431005,train
432031,test
433008,train
433030,train
433170,test
436030,train
441030,test
445030,train
450030,train
452030,train
452031,train
452035,train
452177,train
455030,train
455180,test
461030,train
461171,test
465030,train
473004,test
473171,train
473172,val
473177,val
478030,test
478032,test
478033,test
478034,train
478179,train
479170,train
486004,val
486171,test
487005,train
490172,val
495030,train
495032,train
495033,train
495170,train
496185,train
503030,test
503031,train
508003,val
508004,train
508172,test
510030,val
510170,train
514030,train
514172,val
517005,val
517008,val
534030,train
534031,val
534171,train
544030,train
544170,train
548009,train
548176,train
548182,train
548183,test
557030,test
557175,test
563007,val
563183,val
563193,train
565004,test
565173,train
573004,train
577004,test
577174,test
582030,train
586003,train
586004,train
593003,test
593004,test
593170,test
593171,train
595030,train
595031,test
597176,train
602030,val
602031,train
605003,test
607007,val
607030,train
607032,val
608033,train
610003,train
613005,test
613006,train
613173,train
618004,test
618170,train
620006,train
626003,train
626004,train
626034,val
628030,val
631030,val
632003,test
633030,val
633031,val
634005,train
634006,val
634007,train
634008,train
634173,train
634175,test
639177,train
641176,train
644030,train
649003,train
649030,val
649171,train
649172,test
650172,train
652005,train
652006,val
652171,train
652173,train
654003,train
655003,train
655004,val
655172,train
656005,train
656173,train
657005,train
660030,test
671030,val
672003,val
672030,val
673030,test
673031,test
674003,test
674005,train
674170,test
674171,test
677030,train
687005,test
691003,val
691006,train
691171,test
691172,train
691175,train
692004,test
692007,train
692174,val
698006,train
698007,test
698171,train
699004,train
699031,train
700003,train
700030,train
702030,test
702031,test
704003,val
706007,val
707003,test
707171,train
709006,train
709007,test
711003,train
711004,test
713007,val
713033,train
713175,val
713176,train
713185,train
717004,test
717176,train
