model,mode,target,n_test,rmse,mae,spearman,f1_macro,accuracy
OLS,single,EARN_a45,334,1.8844785070450236,1.445174757349902,0.38732743909578893,,
OLS,multi,EARN_a45,334,1.8844785070450236,1.445174757349902,0.38732743909578893,,
OLS,multi,WLTH_a45,334,3.8613797956458553,2.9422229650730225,0.3665122394088174,,
OLS,multi,FAMSIZE_a45,334,1.8692332225694859,1.4646746117712117,0.3466918832349908,,
OLS,multi,MARSTAT_a45,334,,,,0.5237062937062937,0.7514970059880239
OLS,sequence,EARN_a41,346,1.5367530015781632,1.1286623256352384,0.5328134989856104,,
OLS,sequence,EARN_a42,296,1.4973980835897869,1.15566466822986,0.5837854394708861,,
OLS,sequence,EARN_a43,353,1.6355881245354438,1.2256768453969487,0.4874677415436996,,
OLS,sequence,EARN_a44,296,1.595034035766734,1.239534314271186,0.49575081730994064,,
OLS,sequence,EARN_a45,334,1.8844785070450236,1.445174757349902,0.38732743909578893,,
LASSO,single,EARN_a45,334,1.0622323446121142,0.7213843118122871,0.7023707779331358,,
LASSO,multi,EARN_a45,334,1.0622323446121142,0.7213843118122871,0.7023707779331358,,
LASSO,multi,WLTH_a45,334,2.299683338962607,1.6255139915921029,0.6865764421854775,,
LASSO,multi,FAMSIZE_a45,334,1.0434042859306136,0.7734875001976611,0.6971952095745569,,
LASSO,multi,MARSTAT_a45,334,,,,0.47272607550210183,0.8562874251497006
LASSO,sequence,EARN_a41,346,0.7835443258554764,0.5065897016562628,0.8260105613153954,,
LASSO,sequence,EARN_a42,296,0.7217655311124682,0.4755767287073879,0.8407116725668381,,
LASSO,sequence,EARN_a43,353,0.8896877001676137,0.6121797075439056,0.7760947122635157,,
LASSO,sequence,EARN_a44,296,0.8541374183252516,0.5650381436311551,0.7853445660187051,,
LASSO,sequence,EARN_a45,334,1.0622323446121142,0.7213843118122871,0.7023707779331358,,
