model,split,target_bin,target,n,rmse,mae,r2,spearman,accuracy,f1_macro
LASSO,val,a30_31,earn,248,0.9184825027722151,0.5935108065605164,0.5356776714324951,0.7202796534228649,,
L1_LOGIT,val,a30_31,emp,250,,,,,0.848,0.7331760476350972
L1_LOGIT,val,a30_31,mar,250,,,,,0.844,0.4012318305001232
LASSO,val,a32_33,earn,251,1.0249485770561546,0.7622941136360168,0.3785848021507263,0.6376626135077216,,
L1_LOGIT,val,a32_33,emp,251,,,,,0.8565737051792829,0.6938194632691786
L1_LOGIT,val,a32_33,mar,251,,,,,0.7928286852589641,0.3373191013032702
LASSO,val,a34_35,earn,257,1.0501872372578402,0.7791323661804199,0.3283158540725708,0.6416487150794288,,
L1_LOGIT,val,a34_35,emp,257,,,,,0.8326848249027238,0.6213465821483639
L1_LOGIT,val,a34_35,mar,257,,,,,0.7782101167315175,0.3243879971823487
LASSO,val,a36_37,earn,252,1.118669713725084,0.8360203504562378,0.2413608431816101,0.5798426145843474,,
L1_LOGIT,val,a36_37,emp,252,,,,,0.8333333333333334,0.6137790103634506
L1_LOGIT,val,a36_37,mar,253,,,,,0.7509881422924901,0.3229634924780849
LASSO,val,a38_39,earn,251,1.3016579912379305,0.9907521605491638,0.16336560249328613,0.4689205664616322,,
L1_LOGIT,val,a38_39,emp,250,,,,,0.78,0.5686274509803921
L1_LOGIT,val,a38_39,mar,251,,,,,0.7290836653386454,0.29301715828031616
LASSO,val,a40_41,earn,249,1.2170595525403127,0.9121457934379578,0.1918090581893921,0.5005458963590846,,
L1_LOGIT,val,a40_41,emp,250,,,,,0.816,0.576520842539402
L1_LOGIT,val,a40_41,mar,250,,,,,0.712,0.27974160206718346
LASSO,val,a42_43,earn,254,1.2478187125624787,0.9573748707771301,0.21346384286880493,0.5053616596578966,,
L1_LOGIT,val,a42_43,emp,254,,,,,0.8307086614173228,0.5616295404374875
L1_LOGIT,val,a42_43,mar,254,,,,,0.7125984251968503,0.2915988980107066
LASSO,val,a44_45,earn,252,1.272054330616176,0.9677335023880005,0.2128008008003235,0.5110778427517876,,
L1_LOGIT,val,a44_45,emp,252,,,,,0.8095238095238095,0.5459459459459459
L1_LOGIT,val,a44_45,mar,252,,,,,0.7063492063492064,0.28903880771289103
LASSO,test,a30_31,earn,246,0.7684120520884213,0.527862012386322,0.6456377506256104,0.8186448621354983,,
L1_LOGIT,test,a30_31,emp,246,,,,,0.8048780487804879,0.6554621848739496
L1_LOGIT,test,a30_31,mar,246,,,,,0.8373983739837398,0.4814262498805085
LASSO,test,a32_33,earn,251,0.9072637806989194,0.6526280045509338,0.4589409828186035,0.7279060064183812,,
L1_LOGIT,test,a32_33,emp,252,,,,,0.8571428571428571,0.7013824884792627
L1_LOGIT,test,a32_33,mar,252,,,,,0.7857142857142857,0.3326226012793177
LASSO,test,a34_35,earn,256,0.9708271523034665,0.6863574981689453,0.40114980936050415,0.67255239364752,,
L1_LOGIT,test,a34_35,emp,256,,,,,0.80859375,0.625496342737722
L1_LOGIT,test,a34_35,mar,256,,,,,0.7421875,0.31231371087928467
LASSO,test,a36_37,earn,251,1.0723865211580261,0.7844911813735962,0.3262097239494324,0.6123241219117596,,
L1_LOGIT,test,a36_37,emp,252,,,,,0.8412698412698413,0.5982142857142857
L1_LOGIT,test,a36_37,mar,252,,,,,0.7420634920634921,0.39034508533698764
LASSO,test,a38_39,earn,253,1.1289993828500662,0.844147801399231,0.24688470363616943,0.5434529585476435,,
L1_LOGIT,test,a38_39,emp,252,,,,,0.8095238095238095,0.5815691158156912
L1_LOGIT,test,a38_39,mar,253,,,,,0.758893280632411,0.32811784544096073
LASSO,test,a40_41,earn,254,1.2425752910160772,0.9295003414154053,0.23608767986297607,0.5474739358854225,,
L1_LOGIT,test,a40_41,emp,254,,,,,0.8031496062992126,0.5407203818891942
L1_LOGIT,test,a40_41,mar,254,,,,,0.7362204724409449,0.322309348962011
LASSO,test,a42_43,earn,258,1.2263934753973507,0.9123547077178955,0.23328495025634766,0.5452532544742326,,
L1_LOGIT,test,a42_43,emp,258,,,,,0.7790697674418605,0.4847051403342794
L1_LOGIT,test,a42_43,mar,258,,,,,0.748062015503876,0.3300534759358289
LASSO,test,a44_45,earn,251,1.126118580711277,0.8360611796379089,0.27130526304244995,0.5643311001923677,,
L1_LOGIT,test,a44_45,emp,251,,,,,0.8286852589641435,0.5307595321942524
L1_LOGIT,test,a44_45,mar,251,,,,,0.749003984063745,0.3370781249162813
