model,split,target_bin,target,n,rmse,mae,r2,spearman,accuracy,f1_macro
RIDGE,val,a30_31,earn,248,0.9197267621052887,0.5975054502487183,0.5344187617301941,0.7200080096317013,,
L2_LOGIT,val,a30_31,emp,250,,,,,0.852,0.742562132977095
L2_LOGIT,val,a30_31,mar,250,,,,,0.844,0.4012318305001232
RIDGE,val,a32_33,earn,251,1.0390955984250538,0.7912365198135376,0.36131203174591064,0.6345167460803014,,
L2_LOGIT,val,a32_33,emp,251,,,,,0.852589641434263,0.6891588847608529
L2_LOGIT,val,a32_33,mar,251,,,,,0.7848605577689243,0.3328941939286767
RIDGE,val,a34_35,earn,257,1.061577003341749,0.7872701287269592,0.3136674165725708,0.6413818722443501,,
L2_LOGIT,val,a34_35,emp,257,,,,,0.8249027237354085,0.6037347952715436
L2_LOGIT,val,a34_35,mar,257,,,,,0.7782101167315175,0.3249168816660904
RIDGE,val,a36_37,earn,252,1.1153263515083636,0.8499335050582886,0.24588876962661743,0.5899799707189515,,
L2_LOGIT,val,a36_37,emp,252,,,,,0.8253968253968254,0.5953875346664721
L2_LOGIT,val,a36_37,mar,253,,,,,0.7509881422924901,0.3229634924780849
RIDGE,val,a38_39,earn,251,1.3068673659858323,1.0054131746292114,0.15665560960769653,0.45770983327061177,,
L2_LOGIT,val,a38_39,emp,250,,,,,0.772,0.5624942433453072
L2_LOGIT,val,a38_39,mar,251,,,,,0.7250996015936255,0.28493455861876915
RIDGE,val,a40_41,earn,249,1.218843603207647,0.9260345697402954,0.1894378662109375,0.4931047746226221,,
L2_LOGIT,val,a40_41,emp,250,,,,,0.816,0.576520842539402
L2_LOGIT,val,a40_41,mar,250,,,,,0.728,0.2867299835517589
RIDGE,val,a42_43,earn,254,1.2605359937861966,0.9720379710197449,0.19734996557235718,0.48813282980223793,,
L2_LOGIT,val,a42_43,emp,254,,,,,0.8307086614173228,0.5616295404374875
L2_LOGIT,val,a42_43,mar,254,,,,,0.7125984251968503,0.2915988980107066
RIDGE,val,a44_45,earn,252,1.281303962873712,0.9725281000137329,0.20131105184555054,0.4891676238372804,,
L2_LOGIT,val,a44_45,emp,252,,,,,0.8095238095238095,0.5459459459459459
L2_LOGIT,val,a44_45,mar,252,,,,,0.7222222222222222,0.2942127153891859
RIDGE,test,a30_31,earn,246,0.7705895751582618,0.5311009883880615,0.6436264514923096,0.8160510175117031,,
L2_LOGIT,test,a30_31,emp,246,,,,,0.8048780487804879,0.6554621848739496
L2_LOGIT,test,a30_31,mar,246,,,,,0.8373983739837398,0.4814262498805085
RIDGE,test,a32_33,earn,251,0.9107374701233579,0.6821094751358032,0.454789936542511,0.7204776552800348,,
L2_LOGIT,test,a32_33,emp,252,,,,,0.8650793650793651,0.724537037037037
L2_LOGIT,test,a32_33,mar,252,,,,,0.7857142857142857,0.3326226012793177
RIDGE,test,a34_35,earn,256,0.9613409668499868,0.6820751428604126,0.4127956032752991,0.6620302178025771,,
L2_LOGIT,test,a34_35,emp,256,,,,,0.80859375,0.625496342737722
L2_LOGIT,test,a34_35,mar,256,,,,,0.74609375,0.31298007709097664
RIDGE,test,a36_37,earn,251,1.0852593149850034,0.8040928244590759,0.3099364638328552,0.6027752669339469,,
L2_LOGIT,test,a36_37,emp,252,,,,,0.8452380952380952,0.6020247013565498
L2_LOGIT,test,a36_37,mar,252,,,,,0.7420634920634921,0.39034508533698764
RIDGE,test,a38_39,earn,253,1.13986509955468,0.8565771579742432,0.2323186993598938,0.5155753248737553,,
L2_LOGIT,test,a38_39,emp,252,,,,,0.8095238095238095,0.5704545454545454
L2_LOGIT,test,a38_39,mar,253,,,,,0.782608695652174,0.3510386672151378
RIDGE,test,a40_41,earn,254,1.2459162762099343,0.9398471117019653,0.23197424411773682,0.5448771076638945,,
L2_LOGIT,test,a40_41,emp,254,,,,,0.8070866141732284,0.5560549313358303
L2_LOGIT,test,a40_41,mar,254,,,,,0.7559055118110236,0.3313422035480859
RIDGE,test,a42_43,earn,258,1.232909624458425,0.9220101833343506,0.22511577606201172,0.5401172300469996,,
L2_LOGIT,test,a42_43,emp,258,,,,,0.7790697674418605,0.4847051403342794
L2_LOGIT,test,a42_43,mar,258,,,,,0.748062015503876,0.3300040404040404
RIDGE,test,a44_45,earn,251,1.1335686100512588,0.8386201858520508,0.2616317868232727,0.5536995333591741,,
L2_LOGIT,test,a44_45,emp,251,,,,,0.8286852589641435,0.5307595321942524
L2_LOGIT,test,a44_45,mar,251,,,,,0.7569721115537849,0.34304082288653165
