d_model,n_heads,n_hist_layers,n_task_layers,dropout,lr,weight_decay,batch_size,seed,val_earn_mse,best_epoch
64,4,1,1,0.1,0.001,0.001,128,1470,0.886202653091264,16
64,4,1,1,0.1,0.001,0.0001,128,1470,0.886390511778876,16
64,4,1,1,0.1,0.0003,0.001,128,1470,0.8946470754977608,28
64,4,1,1,0.1,0.0003,0.0001,128,1470,0.8946488370014634,28
128,4,1,1,0.1,0.001,0.0001,128,1470,0.8969464912907014,5
128,4,1,1,0.1,0.001,0.001,128,1470,0.8969466977465117,5
128,4,1,1,0.25,0.001,0.0001,128,1470,0.9037936451181755,10
128,4,1,1,0.1,0.0003,0.001,128,1470,0.9064143681833974,10
128,4,1,1,0.1,0.0003,0.0001,128,1470,0.9082794823973276,10
64,4,1,1,0.25,0.001,0.001,128,1470,0.9088096656534144,7
64,4,1,1,0.25,0.001,0.0001,128,1470,0.9088178708513065,7
64,4,1,1,0.25,0.0003,0.001,128,1470,0.9089751390383284,14
64,4,1,1,0.25,0.0003,0.0001,128,1470,0.9089774119463317,14
128,4,1,1,0.25,0.001,0.001,128,1470,0.9118215348775006,5
128,4,1,1,0.25,0.0003,0.0001,128,1470,0.9187956661311494,10
128,4,1,1,0.25,0.0003,0.001,128,1470,0.9187964332376005,10
