epoch,train_loss,val_earn_mse,ablation
0,2.21524867974582,1.1468144353357066,no_history
1,1.8068736378874493,1.1597693016181043,no_history
2,1.7792430516598994,1.1714344441358004,no_history
3,1.8003238303518387,1.1517729167313182,no_history
4,1.7581816609639034,1.1549592628971468,no_history
5,1.7739289982867656,1.1617184575525035,no_history
6,1.7611658278009648,1.1277083952827036,no_history
7,1.752325894984793,1.153568521630326,no_history
8,1.7424461527995954,1.1448505443281307,no_history
9,1.7272132577471853,1.1775197291445234,no_history
10,1.7416422118070738,1.142641868704954,no_history
11,1.7169748537775626,1.1384137237912493,no_history
12,1.7221975243529684,1.1862476589426383,no_history
13,1.7108321427376634,1.1285286110704682,no_history
