model,split,target_bin,target,n,rmse,mae,r2,spearman,accuracy,f1_macro
AUTOREGRESSIVE_TASK_DECODER_TRANSFORMER,val,a30_31,earn,248,0.8909363453408329,0.5781901478767395,0.5631109476089478,0.7585881206500359,,
AUTOREGRESSIVE_TASK_DECODER_TRANSFORMER,val,a30_31,emp,250,,,,,0.84,0.7082506710234566
AUTOREGRESSIVE_TASK_DECODER_TRANSFORMER,val,a30_31,mar,250,,,,,0.88,0.738192681226389
AUTOREGRESSIVE_TASK_DECODER_TRANSFORMER,val,a32_33,earn,251,1.019379586233444,0.7395455837249756,0.3853192925453186,0.6627348686390776,,
AUTOREGRESSIVE_TASK_DECODER_TRANSFORMER,val,a32_33,emp,251,,,,,0.8446215139442231,0.6801084931864971
AUTOREGRESSIVE_TASK_DECODER_TRANSFORMER,val,a32_33,mar,251,,,,,0.7928286852589641,0.43216350917181945
AUTOREGRESSIVE_TASK_DECODER_TRANSFORMER,val,a34_35,earn,257,1.071435436726328,0.7736096382141113,0.30086082220077515,0.6529684603495743,,
AUTOREGRESSIVE_TASK_DECODER_TRANSFORMER,val,a34_35,emp,257,,,,,0.8249027237354085,0.6233512457254519
AUTOREGRESSIVE_TASK_DECODER_TRANSFORMER,val,a34_35,mar,257,,,,,0.7821011673151751,0.5669961690216198
AUTOREGRESSIVE_TASK_DECODER_TRANSFORMER,val,a36_37,earn,252,1.1359864068292607,0.8228517174720764,0.2176920771598816,0.617204032561683,,
AUTOREGRESSIVE_TASK_DECODER_TRANSFORMER,val,a36_37,emp,252,,,,,0.8174603174603174,0.6090124123043713
AUTOREGRESSIVE_TASK_DECODER_TRANSFORMER,val,a36_37,mar,253,,,,,0.7509881422924901,0.520153348861619
AUTOREGRESSIVE_TASK_DECODER_TRANSFORMER,val,a38_39,earn,251,1.32694676812923,0.9854608774185181,0.13054132461547852,0.5081809120601984,,
AUTOREGRESSIVE_TASK_DECODER_TRANSFORMER,val,a38_39,emp,250,,,,,0.768,0.5684523809523809
AUTOREGRESSIVE_TASK_DECODER_TRANSFORMER,val,a38_39,mar,251,,,,,0.7370517928286853,0.5219633699633699
AUTOREGRESSIVE_TASK_DECODER_TRANSFORMER,val,a40_41,earn,249,1.265539095753608,0.9438111186027527,0.1261407732963562,0.5256143351582239,,
AUTOREGRESSIVE_TASK_DECODER_TRANSFORMER,val,a40_41,emp,250,,,,,0.8,0.5943665628245067
AUTOREGRESSIVE_TASK_DECODER_TRANSFORMER,val,a40_41,mar,250,,,,,0.716,0.5044702211368878
AUTOREGRESSIVE_TASK_DECODER_TRANSFORMER,val,a42_43,earn,254,1.349076205765639,1.034266710281372,0.08063352108001709,0.4991224222751452,,
AUTOREGRESSIVE_TASK_DECODER_TRANSFORMER,val,a42_43,emp,254,,,,,0.8070866141732284,0.5988655042382441
AUTOREGRESSIVE_TASK_DECODER_TRANSFORMER,val,a42_43,mar,254,,,,,0.6968503937007874,0.49147551978537896
AUTOREGRESSIVE_TASK_DECODER_TRANSFORMER,val,a44_45,earn,252,1.3622866612270625,1.037845492362976,0.0971609354019165,0.48569091724226654,,
AUTOREGRESSIVE_TASK_DECODER_TRANSFORMER,val,a44_45,emp,252,,,,,0.7817460317460317,0.5692307692307692
AUTOREGRESSIVE_TASK_DECODER_TRANSFORMER,val,a44_45,mar,252,,,,,0.6666666666666666,0.40258996889814896
AUTOREGRESSIVE_TASK_DECODER_TRANSFORMER,test,a30_31,earn,246,0.7525303990379976,0.5129240155220032,0.6601343750953674,0.8384726733239215,,
AUTOREGRESSIVE_TASK_DECODER_TRANSFORMER,test,a30_31,emp,246,,,,,0.8089430894308943,0.6381786887810984
AUTOREGRESSIVE_TASK_DECODER_TRANSFORMER,test,a30_31,mar,246,,,,,0.8617886178861789,0.6865197424980034
AUTOREGRESSIVE_TASK_DECODER_TRANSFORMER,test,a32_33,earn,251,0.8797677120410611,0.6133829355239868,0.4912393093109131,0.7399736549239838,,
AUTOREGRESSIVE_TASK_DECODER_TRANSFORMER,test,a32_33,emp,252,,,,,0.8611111111111112,0.7061469265367316
AUTOREGRESSIVE_TASK_DECODER_TRANSFORMER,test,a32_33,mar,252,,,,,0.7817460317460317,0.46456205486056235
AUTOREGRESSIVE_TASK_DECODER_TRANSFORMER,test,a34_35,earn,256,0.9750356105267894,0.6464587450027466,0.3959466218948364,0.6715878638430942,,
AUTOREGRESSIVE_TASK_DECODER_TRANSFORMER,test,a34_35,emp,256,,,,,0.81640625,0.6482591282486041
AUTOREGRESSIVE_TASK_DECODER_TRANSFORMER,test,a34_35,mar,256,,,,,0.7265625,0.4072592685189262
AUTOREGRESSIVE_TASK_DECODER_TRANSFORMER,test,a36_37,earn,251,1.1163546251943466,0.7934485077857971,0.26982593536376953,0.6071233520190649,,
