model,split,target_bin,target,n,rmse,mae,r2,spearman,accuracy,f1_macro
DIRECT_TRANSFORMER,val,a30_31,earn,248,0.8968706815396326,0.5763943791389465,0.5572714805603027,0.7428792357877078,,
DIRECT_TRANSFORMER,val,a30_31,emp,250,,,,,0.84,0.7023809523809523
DIRECT_TRANSFORMER,val,a30_31,mar,250,,,,,0.868,0.4909499740305806
DIRECT_TRANSFORMER,val,a32_33,earn,251,1.0213700589751544,0.7428781390190125,0.3829164505004883,0.6378980464305006,,
DIRECT_TRANSFORMER,val,a32_33,emp,251,,,,,0.848605577689243,0.668543230469836
DIRECT_TRANSFORMER,val,a32_33,mar,251,,,,,0.7888446215139442,0.395968715968716
DIRECT_TRANSFORMER,val,a34_35,earn,257,1.0499261830131732,0.7557544708251953,0.32864975929260254,0.6301906511731157,,
DIRECT_TRANSFORMER,val,a34_35,emp,257,,,,,0.8443579766536965,0.6430555555555555
DIRECT_TRANSFORMER,val,a34_35,mar,257,,,,,0.7821011673151751,0.386206698137135
DIRECT_TRANSFORMER,val,a36_37,earn,252,1.0918418042487044,0.7927623391151428,0.27731186151504517,0.6013719107214073,,
DIRECT_TRANSFORMER,val,a36_37,emp,252,,,,,0.8214285714285714,0.5680822700438012
DIRECT_TRANSFORMER,val,a36_37,mar,253,,,,,0.7233201581027668,0.3247370233963064
DIRECT_TRANSFORMER,val,a38_39,earn,251,1.283928560135309,0.9599722623825073,0.18600142002105713,0.5016369996386093,,
DIRECT_TRANSFORMER,val,a38_39,emp,250,,,,,0.78,0.5137046861184793
DIRECT_TRANSFORMER,val,a38_39,mar,251,,,,,0.7290836653386454,0.340340676811265
DIRECT_TRANSFORMER,val,a40_41,earn,249,1.1990967231819605,0.8779692649841309,0.2154894471168518,0.5268320775588001,,
DIRECT_TRANSFORMER,val,a40_41,emp,250,,,,,0.812,0.5199182839632278
DIRECT_TRANSFORMER,val,a40_41,mar,250,,,,,0.728,0.32808621457697973
DIRECT_TRANSFORMER,val,a42_43,earn,254,1.2559567616910818,0.9483602643013,0.20317107439041138,0.5035797138603663,,
DIRECT_TRANSFORMER,val,a42_43,emp,254,,,,,0.8228346456692913,0.5260211486626581
DIRECT_TRANSFORMER,val,a42_43,mar,254,,,,,0.7204724409448819,0.3248227351055114
DIRECT_TRANSFORMER,val,a44_45,earn,252,1.266384791498923,0.9510317444801331,0.21980220079421997,0.506324357937376,,
DIRECT_TRANSFORMER,val,a44_45,emp,252,,,,,0.7936507936507936,0.49342817380547394
DIRECT_TRANSFORMER,val,a44_45,mar,252,,,,,0.6984126984126984,0.3112196937968263
DIRECT_TRANSFORMER,test,a30_31,earn,246,0.7761673964134599,0.5210275053977966,0.6384486556053162,0.813795868595041,,
DIRECT_TRANSFORMER,test,a30_31,emp,246,,,,,0.8130081300813008,0.6566747572815534
DIRECT_TRANSFORMER,test,a30_31,mar,246,,,,,0.8373983739837398,0.5381822302564436
DIRECT_TRANSFORMER,test,a32_33,earn,251,0.8837635352731713,0.6246166825294495,0.4866073727607727,0.7212362441518255,,
DIRECT_TRANSFORMER,test,a32_33,emp,252,,,,,0.8611111111111112,0.7131054223725726
DIRECT_TRANSFORMER,test,a32_33,mar,252,,,,,0.7698412698412699,0.37638353818871156
DIRECT_TRANSFORMER,test,a34_35,earn,256,0.9446883860491485,0.6305446028709412,0.4329628348350525,0.6615511727698893,,
DIRECT_TRANSFORMER,test,a34_35,emp,256,,,,,0.80859375,0.625496342737722
DIRECT_TRANSFORMER,test,a34_35,mar,256,,,,,0.734375,0.3440727425099518
DIRECT_TRANSFORMER,test,a36_37,earn,251,1.065804224240634,0.744904637336731,0.33445578813552856,0.6162143539790961,,
DIRECT_TRANSFORMER,test,a36_37,emp,252,,,,,0.8571428571428571,0.6492964280191742
DIRECT_TRANSFORMER,test,a36_37,mar,252,,,,,0.7380952380952381,0.41773423305253543
DIRECT_TRANSFORMER,test,a38_39,earn,253,1.1603038449918806,0.8275094032287598,0.20454150438308716,0.539917649292973,,
DIRECT_TRANSFORMER,test,a38_39,emp,252,,,,,0.8174603174603174,0.5769960589694936
DIRECT_TRANSFORMER,test,a38_39,mar,253,,,,,0.766798418972332,0.3707472821854655
DIRECT_TRANSFORMER,test,a40_41,earn,254,1.2416623522963017,0.9011169672012329,0.23720985651016235,0.554275624035329,,
DIRECT_TRANSFORMER,test,a40_41,emp,254,,,,,0.8070866141732284,0.5677721826706026
DIRECT_TRANSFORMER,test,a40_41,mar,254,,,,,0.7440944881889764,0.36251030715316424
DIRECT_TRANSFORMER,test,a42_43,earn,258,1.2335083248814658,0.8959888815879822,0.2243630290031433,0.5357109254777701,,
DIRECT_TRANSFORMER,test,a42_43,emp,258,,,,,0.7984496124031008,0.5482828282828283
DIRECT_TRANSFORMER,test,a42_43,mar,258,,,,,0.7364341085271318,0.3459756781873307
DIRECT_TRANSFORMER,test,a44_45,earn,251,1.1257973070872471,0.805011510848999,0.2717210054397583,0.5546285899994435,,
DIRECT_TRANSFORMER,test,a44_45,emp,251,,,,,0.8406374501992032,0.5849867724867724
DIRECT_TRANSFORMER,test,a44_45,mar,251,,,,,0.7410358565737052,0.3487077925726164
