d_model,n_heads,n_hist_layers,n_query_layers,dropout,lr,weight_decay,batch_size,seed,val_earn_mse,best_epoch
64,4,1,1,0.25,0.001,0.001,128,1470,0.8851023960965866,15
64,4,1,1,0.25,0.001,0.0001,128,1470,0.8851150670851827,15
128,4,1,1,0.25,0.0003,0.001,128,1470,0.8854039570070663,5
128,4,1,1,0.25,0.0003,0.0001,128,1470,0.8855564691340911,5
128,4,1,1,0.1,0.0003,0.001,128,1470,0.8863405167997298,7
128,4,1,1,0.1,0.0003,0.0001,128,1470,0.8865950441407826,7
128,4,1,1,0.25,0.001,0.0001,128,1470,0.887720418662987,10
64,4,1,1,0.1,0.0003,0.0001,128,1470,0.8908701492279265,14
64,4,1,1,0.1,0.0003,0.001,128,1470,0.8908783648433136,14
64,4,1,1,0.1,0.001,0.001,128,1470,0.8951211027734448,14
64,4,1,1,0.1,0.001,0.0001,128,1470,0.8951241361585842,14
64,4,1,1,0.25,0.0003,0.0001,128,1470,0.8960097406684702,11
64,4,1,1,0.25,0.0003,0.001,128,1470,0.8960116035059879,11
128,4,1,1,0.25,0.001,0.001,128,1470,0.8990019601293449,6
128,4,1,1,0.1,0.001,0.0001,128,1470,0.9011601251073722,5
128,4,1,1,0.1,0.001,0.001,128,1470,0.9013479980006592,5
