model,split,target_bin,target,n,rmse,mae,r2,spearman,accuracy,f1_macro
MEAN_MAJORITY,val,a30_31,earn,248,1.3491131854438183,1.094256043434143,-0.0017851591110229492,,,
MEAN_MAJORITY,val,a30_31,emp,250,,,,,0.78,0.43820224719101125
MEAN_MAJORITY,val,a30_31,mar,250,,,,,0.72,0.16744186046511628
MEAN_MAJORITY,val,a32_33,earn,251,1.3034013359121512,1.0672560930252075,-0.004925966262817383,,,
MEAN_MAJORITY,val,a32_33,emp,251,,,,,0.8207171314741036,0.45076586433260396
MEAN_MAJORITY,val,a32_33,mar,251,,,,,0.7290836653386454,0.16866359447004609
MEAN_MAJORITY,val,a34_35,earn,257,1.2863531597352937,1.0294694900512695,-0.007748246192932129,,,
MEAN_MAJORITY,val,a34_35,emp,257,,,,,0.8326848249027238,0.4543524416135881
MEAN_MAJORITY,val,a34_35,mar,257,,,,,0.7315175097276264,0.16898876404494384
MEAN_MAJORITY,val,a36_37,earn,252,1.2902799463727228,1.0184460878372192,-0.00925135612487793,,,
MEAN_MAJORITY,val,a36_37,emp,252,,,,,0.8253968253968254,0.45217391304347826
MEAN_MAJORITY,val,a36_37,mar,253,,,,,0.7035573122529645,0.16519721577726218
MEAN_MAJORITY,val,a38_39,earn,251,1.4235344729173602,1.1246757507324219,-0.0006401538848876953,,,
MEAN_MAJORITY,val,a38_39,emp,250,,,,,0.784,0.43946188340807174
MEAN_MAJORITY,val,a38_39,mar,251,,,,,0.6892430278884463,0.1632075471698113
MEAN_MAJORITY,val,a40_41,earn,249,1.3544438249662918,1.0616874694824219,-0.000949859619140625,,,
MEAN_MAJORITY,val,a40_41,emp,250,,,,,0.804,0.44567627494456763
MEAN_MAJORITY,val,a40_41,mar,250,,,,,0.692,0.1635933806146572
MEAN_MAJORITY,val,a42_43,earn,254,1.4089257532948372,1.1131495237350464,-0.002748250961303711,,,
MEAN_MAJORITY,val,a42_43,emp,254,,,,,0.8228346456692913,0.4514038876889849
MEAN_MAJORITY,val,a42_43,mar,254,,,,,0.6929133858267716,0.16372093023255813
MEAN_MAJORITY,val,a44_45,earn,252,1.434314349186647,1.1248441934585571,-0.0008339881896972656,,,
MEAN_MAJORITY,val,a44_45,emp,252,,,,,0.8015873015873016,0.44493392070484583
MEAN_MAJORITY,val,a44_45,mar,252,,,,,0.6865079365079365,0.1628235294117647
MEAN_MAJORITY,test,a30_31,earn,246,1.2925355306497162,1.041081428527832,-0.0026379823684692383,,,
MEAN_MAJORITY,test,a30_31,emp,246,,,,,0.7886178861788617,0.4409090909090909
MEAN_MAJORITY,test,a30_31,mar,246,,,,,0.6097560975609756,0.1893939393939394
MEAN_MAJORITY,test,a32_33,earn,251,1.2366699903157308,0.9970800876617432,-0.005275607109069824,,,
MEAN_MAJORITY,test,a32_33,emp,252,,,,,0.8253968253968254,0.45217391304347826
MEAN_MAJORITY,test,a32_33,mar,252,,,,,0.6428571428571429,0.1565217391304348
MEAN_MAJORITY,test,a34_35,earn,256,1.2569939455479835,0.9917883276939392,-0.003923773765563965,,,
MEAN_MAJORITY,test,a34_35,emp,256,,,,,0.7890625,0.4410480349344978
MEAN_MAJORITY,test,a34_35,mar,256,,,,,0.640625,0.15619047619047619
MEAN_MAJORITY,test,a36_37,earn,251,1.309510777974208,1.0268114805221558,-0.004708766937255859,,,
MEAN_MAJORITY,test,a36_37,emp,252,,,,,0.8452380952380952,0.45806451612903226
MEAN_MAJORITY,test,a36_37,mar,252,,,,,0.6428571428571429,0.1956521739130435
MEAN_MAJORITY,test,a38_39,earn,253,1.3009581116274376,0.9993399381637573,-1.5497207641601562e-06,,,
MEAN_MAJORITY,test,a38_39,emp,252,,,,,0.8214285714285714,0.45098039215686275
MEAN_MAJORITY,test,a38_39,mar,253,,,,,0.6521739130434783,0.15789473684210525
MEAN_MAJORITY,test,a40_41,earn,254,1.423998243009362,1.1180468797683716,-0.003268003463745117,,,
MEAN_MAJORITY,test,a40_41,emp,254,,,,,0.8110236220472441,0.44782608695652176
MEAN_MAJORITY,test,a40_41,mar,254,,,,,0.6535433070866141,0.1580952380952381
MEAN_MAJORITY,test,a42_43,earn,258,1.4008186143869243,1.1053026914596558,-0.00031816959381103516,,,
MEAN_MAJORITY,test,a42_43,emp,258,,,,,0.810077519379845,0.4475374732334047
MEAN_MAJORITY,test,a42_43,mar,258,,,,,0.6550387596899225,0.15831381733021077
MEAN_MAJORITY,test,a44_45,earn,251,1.3218649140101697,1.0188510417938232,-0.004041194915771484,,,
MEAN_MAJORITY,test,a44_45,emp,251,,,,,0.8446215139442231,0.45788336933045354
MEAN_MAJORITY,test,a44_45,mar,251,,,,,0.6533864541832669,0.1580722891566265
