model,split,target_bin,target,n,rmse,mae,r2,spearman,accuracy,f1_macro
OLS,val,a30_31,earn,248,0.9246965322926795,0.6001312732696533,0.5293735861778259,0.713770044601287,,
LOGIT,val,a30_31,emp,250,,,,,0.848,0.7379744042365401
LOGIT,val,a30_31,mar,250,,,,,0.844,0.3995752648435575
OLS,val,a32_33,earn,251,1.0472129162533155,0.7702529430389404,0.3512943387031555,0.6315367070380801,,
LOGIT,val,a32_33,emp,251,,,,,0.8406374501992032,0.6830007577671129
LOGIT,val,a32_33,mar,251,,,,,0.7848605577689243,0.3328941939286767
OLS,val,a34_35,earn,257,1.069615157787909,0.7853474020957947,0.30323439836502075,0.6312296389601121,,
LOGIT,val,a34_35,emp,257,,,,,0.8132295719844358,0.5827922077922079
LOGIT,val,a34_35,mar,257,,,,,0.7782101167315175,0.3249168816660904
OLS,val,a36_37,earn,252,1.1358900162585943,0.8501360416412354,0.2178248167037964,0.5633640142124067,,
LOGIT,val,a36_37,emp,252,,,,,0.8214285714285714,0.5918367346938775
LOGIT,val,a36_37,mar,253,,,,,0.7509881422924901,0.3229634924780849
OLS,val,a38_39,earn,251,1.3227317811024517,1.0042866468429565,0.13605618476867676,0.4389874266152666,,
LOGIT,val,a38_39,emp,250,,,,,0.772,0.5624942433453072
LOGIT,val,a38_39,mar,251,,,,,0.7091633466135459,0.28351683937823835
OLS,val,a40_41,earn,249,1.2435275353303914,0.9204124212265015,0.15627455711364746,0.45933468929613314,,
LOGIT,val,a40_41,emp,250,,,,,0.816,0.576520842539402
LOGIT,val,a40_41,mar,250,,,,,0.696,0.2767946640256895
OLS,val,a42_43,earn,254,1.2792558736273056,0.9772473573684692,0.1733330488204956,0.46696252814344213,,
LOGIT,val,a42_43,emp,254,,,,,0.8267716535433071,0.5584702907711757
LOGIT,val,a42_43,mar,254,,,,,0.7125984251968503,0.2915988980107066
OLS,val,a44_45,earn,252,1.2912104888070475,0.9765363335609436,0.1889129877090454,0.47614208381412026,,
LOGIT,val,a44_45,emp,252,,,,,0.8095238095238095,0.5459459459459459
LOGIT,val,a44_45,mar,252,,,,,0.6944444444444444,0.28038906901343214
OLS,test,a30_31,earn,246,0.768683649316639,0.5284744501113892,0.6453871726989746,0.8148385675220011,,
LOGIT,test,a30_31,emp,246,,,,,0.8008130081300813,0.6515681456857927
LOGIT,test,a30_31,mar,246,,,,,0.8373983739837398,0.4814262498805085
OLS,test,a32_33,earn,251,0.9081871769643111,0.6556321382522583,0.45783907175064087,0.7000883498811105,,
LOGIT,test,a32_33,emp,252,,,,,0.8690476190476191,0.7415384615384616
LOGIT,test,a32_33,mar,252,,,,,0.7857142857142857,0.3326226012793177
OLS,test,a34_35,earn,256,0.9583457171980657,0.6804472208023071,0.41644901037216187,0.6523677471208518,,
LOGIT,test,a34_35,emp,256,,,,,0.80859375,0.625496342737722
LOGIT,test,a34_35,mar,256,,,,,0.74609375,0.31298007709097664
OLS,test,a36_37,earn,251,1.066902631995133,0.7891159653663635,0.33308327198028564,0.6011883468557321,,
LOGIT,test,a36_37,emp,252,,,,,0.8492063492063492,0.6298128962424617
LOGIT,test,a36_37,mar,252,,,,,0.7420634920634921,0.39034508533698764
OLS,test,a38_39,earn,253,1.1497142727039849,0.8615895509719849,0.21899479627609253,0.5111965981951782,,
LOGIT,test,a38_39,emp,252,,,,,0.8055555555555556,0.5672682670404766
LOGIT,test,a38_39,mar,253,,,,,0.7707509881422925,0.34417816521850914
OLS,test,a40_41,earn,254,1.2356274684945023,0.9236685037612915,0.244606614112854,0.5568962830961057,,
LOGIT,test,a40_41,emp,254,,,,,0.8149606299212598,0.574175138220082
LOGIT,test,a40_41,mar,254,,,,,0.7401574803149606,0.33277111536789916
OLS,test,a42_43,earn,258,1.2261427142761154,0.909041702747345,0.23359841108322144,0.538345053248991,,
LOGIT,test,a42_43,emp,258,,,,,0.7790697674418605,0.4847051403342794
LOGIT,test,a42_43,mar,258,,,,,0.748062015503876,0.3300534759358289
OLS,test,a44_45,earn,251,1.1422168649637712,0.8459786176681519,0.2503224015235901,0.5360801089599163,,
LOGIT,test,a44_45,emp,251,,,,,0.8286852589641435,0.5307595321942524
LOGIT,test,a44_45,mar,251,,,,,0.7410358565737052,0.3300106359621733
