split,target_bin,target,n,rmse,mae,r2,spearman,accuracy,f1_macro
val,a30_31,earn,248,0.9145939903825946,0.5823612809181213,0.5396008491516113,0.7293864130999582,,
val,a30_31,emp,250,,,,,0.852,0.742562132977095
val,a30_31,mar,250,,,,,0.868,0.47811978399607263
val,a32_33,earn,251,1.0251734912401016,0.7435872554779053,0.37831205129623413,0.6409646394729291,,
val,a32_33,emp,251,,,,,0.8286852589641435,0.6629820452771272
val,a32_33,mar,251,,,,,0.7888446215139442,0.38960234960234963
val,a34_35,earn,257,1.0794192299674106,0.7697931528091431,0.2904028296470642,0.6280575081060081,,
val,a34_35,emp,257,,,,,0.8132295719844358,0.6211302211302211
val,a34_35,mar,257,,,,,0.7782101167315175,0.38492939741877163
val,a36_37,earn,252,1.1165203957102017,0.7980079054832458,0.24427330493927002,0.5972697319112892,,
val,a36_37,emp,252,,,,,0.8055555555555556,0.6075390140800305
val,a36_37,mar,253,,,,,0.7430830039525692,0.35371550493846354
val,a38_39,earn,251,1.3446651270177825,0.9805133938789368,0.10716700553894043,0.49268429209243647,,
val,a38_39,emp,250,,,,,0.756,0.5676824946846208
val,a38_39,mar,251,,,,,0.7250996015936255,0.34515019045427814
val,a40_41,earn,249,1.2809647963761743,0.9116647839546204,0.10470795631408691,0.5120492059831042,,
val,a40_41,emp,250,,,,,0.78,0.5778453225261736
val,a40_41,mar,250,,,,,0.708,0.32681598062954
val,a42_43,earn,254,1.3446874231918706,0.9615315794944763,0.0866054892539978,0.5004538162983384,,
val,a42_43,emp,254,,,,,0.8070866141732284,0.6249736342543768
val,a42_43,mar,254,,,,,0.6889763779527559,0.31820738660948666
val,a44_45,earn,252,1.3654629539177283,0.9667018055915833,0.0929458737373352,0.4944557174734811,,
val,a44_45,emp,252,,,,,0.7698412698412699,0.5776210842677147
val,a44_45,mar,252,,,,,0.6626984126984127,0.3026504283232783
test,a30_31,earn,246,0.763715269607074,0.5186417698860168,0.649956464767456,0.8160683555062348,,
test,a30_31,emp,246,,,,,0.8130081300813008,0.6817056705670568
test,a30_31,mar,246,,,,,0.8495934959349594,0.5894858323771949
test,a32_33,earn,251,0.8889850777166411,0.625432014465332,0.48052287101745605,0.7288627376767782,,
test,a32_33,emp,252,,,,,0.873015873015873,0.7622641509433963
test,a32_33,mar,252,,,,,0.7857142857142857,0.41941699111510433
test,a34_35,earn,256,0.9773114193722929,0.6505093574523926,0.3931235074996948,0.6575642587711799,,
test,a34_35,emp,256,,,,,0.8046875,0.6629805160610848
test,a34_35,mar,256,,,,,0.734375,0.38059911552328135
test,a36_37,earn,251,1.1244566983052418,0.7687235474586487,0.2591888904571533,0.6048530692277434,,
test,a36_37,emp,252,,,,,0.8333333333333334,0.6673790069138906
test,a36_37,mar,252,,,,,0.7301587301587301,0.4896871956431687
test,a38_39,earn,253,1.2263993561728692,0.8532552123069763,0.1113353967666626,0.5358236455073895,,
test,a38_39,emp,252,,,,,0.8095238095238095,0.6433962264150943
test,a38_39,mar,253,,,,,0.7391304347826086,0.4135009997569652
test,a40_41,earn,254,1.2957128810199015,0.9082452058792114,0.16935467720031738,0.5480818056004153,,
test,a40_41,emp,254,,,,,0.7992125984251969,0.6327710843373494
test,a40_41,mar,254,,,,,0.7125984251968503,0.39460291805014575
test,a42_43,earn,258,1.2935523246088094,0.9138022661209106,0.1470131278038025,0.5446151868706858,,
test,a42_43,emp,258,,,,,0.7868217054263565,0.6126654838269414
test,a42_43,mar,258,,,,,0.689922480620155,0.40650231124807396
test,a44_45,earn,251,1.2080035198015129,0.8346092104911804,0.16147929430007935,0.5653979776583085,,
test,a44_45,emp,251,,,,,0.8207171314741036,0.6473067915690867
test,a44_45,mar,251,,,,,0.6972111553784861,0.4241386616014028
