model,split,target_bin,target,ablation,n,rmse,mae,r2,spearman,accuracy,f1_macro
TASK_DECODER_NO_STATIC,val,a30_31,earn,no_static,248,0.925597707847042,0.6399822235107422,0.5284558534622192,0.7478149717438032,,
TASK_DECODER_NO_STATIC,val,a30_31,emp,no_static,250,,,,,0.836,0.7038513767299412
TASK_DECODER_NO_STATIC,val,a30_31,mar,no_static,250,,,,,0.868,0.687123120132829
TASK_DECODER_NO_STATIC,val,a32_33,earn,no_static,251,1.0349516468455366,0.7791014909744263,0.36639612913131714,0.6440532814215635,,
TASK_DECODER_NO_STATIC,val,a32_33,emp,no_static,251,,,,,0.848605577689243,0.6845899470899471
TASK_DECODER_NO_STATIC,val,a32_33,mar,no_static,251,,,,,0.7928286852589641,0.4089592545728504
TASK_DECODER_NO_STATIC,val,a34_35,earn,no_static,257,1.0625313024958696,0.8002393841743469,0.3124329447746277,0.6363623365053637,,
TASK_DECODER_NO_STATIC,val,a34_35,emp,no_static,257,,,,,0.8560311284046692,0.6558824593782796
TASK_DECODER_NO_STATIC,val,a34_35,mar,no_static,257,,,,,0.7898832684824902,0.5364251207729469
TASK_DECODER_NO_STATIC,val,a36_37,earn,no_static,252,1.1362883287098478,0.8678216338157654,0.21727615594863892,0.5534936824681204,,
TASK_DECODER_NO_STATIC,val,a36_37,emp,no_static,252,,,,,0.8373015873015873,0.6064749571510188
TASK_DECODER_NO_STATIC,val,a36_37,mar,no_static,253,,,,,0.7509881422924901,0.502217774744862
TASK_DECODER_NO_STATIC,val,a38_39,earn,no_static,251,1.3120577839245242,1.0093406438827515,0.14994335174560547,0.45458664289220185,,
TASK_DECODER_NO_STATIC,val,a38_39,emp,no_static,250,,,,,0.784,0.5404411764705882
TASK_DECODER_NO_STATIC,val,a38_39,mar,no_static,251,,,,,0.7211155378486056,0.35319597601578473
TASK_DECODER_NO_STATIC,val,a40_41,earn,no_static,249,1.2255337525462389,0.932693600654602,0.18051517009735107,0.49483743997238305,,
TASK_DECODER_NO_STATIC,val,a40_41,emp,no_static,250,,,,,0.82,0.5676236596333448
TASK_DECODER_NO_STATIC,val,a40_41,mar,no_static,250,,,,,0.716,0.3354402834008097
TASK_DECODER_NO_STATIC,val,a42_43,earn,no_static,254,1.2792648194934286,1.0034719705581665,0.17332154512405396,0.4679093321282093,,
TASK_DECODER_NO_STATIC,val,a42_43,emp,no_static,254,,,,,0.8267716535433071,0.5119650655021835
TASK_DECODER_NO_STATIC,val,a42_43,mar,no_static,254,,,,,0.6968503937007874,0.3265159145850121
TASK_DECODER_NO_STATIC,val,a44_45,earn,no_static,252,1.2786860048570696,1.0009106397628784,0.20457148551940918,0.5115278219619658,,
TASK_DECODER_NO_STATIC,val,a44_45,emp,no_static,252,,,,,0.7976190476190477,0.47957076331241144
TASK_DECODER_NO_STATIC,val,a44_45,mar,no_static,252,,,,,0.6706349206349206,0.3055671251239372
TASK_DECODER_NO_STATIC,test,a30_31,earn,no_static,246,0.803156498094656,0.5739735960960388,0.6128675937652588,0.8198222722166199,,
TASK_DECODER_NO_STATIC,test,a30_31,emp,no_static,246,,,,,0.8089430894308943,0.6456309191773685
TASK_DECODER_NO_STATIC,test,a30_31,mar,no_static,246,,,,,0.8536585365853658,0.6825371815392823
TASK_DECODER_NO_STATIC,test,a32_33,earn,no_static,251,0.9143569341662267,0.6680706143379211,0.4504477381706238,0.7216928046008728,,
TASK_DECODER_NO_STATIC,test,a32_33,emp,no_static,252,,,,,0.8650793650793651,0.7179723502304147
