model,ablation,split,target,avg_r2,avg_accuracy,avg_f1_macro
TASK_DECODER_NO_EARLY_HISTORY,no_history,test,earn,0.14396066963672638,,
TASK_DECODER_NO_EARLY_HISTORY,no_history,test,emp,,0.8169333167017082,0.44955285958666774
TASK_DECODER_NO_EARLY_HISTORY,no_history,test,mar,,0.7036070906299089,0.28570742604192767
TASK_DECODER_NO_EARLY_HISTORY,no_history,val,earn,0.09816087782382965,,
TASK_DECODER_NO_EARLY_HISTORY,no_history,val,emp,,0.8089025911287807,0.44712130411589396
TASK_DECODER_NO_EARLY_HISTORY,no_history,val,mar,,0.7016324680859863,0.23011790960870912
TASK_DECODER_NO_STATIC,no_static,test,earn,0.33667485415935516,,
TASK_DECODER_NO_STATIC,no_static,test,emp,,0.8214671852941172,0.5862110002079088
TASK_DECODER_NO_STATIC,no_static,test,mar,,0.7462879412192708,0.4245472306229412
TASK_DECODER_NO_STATIC,no_static,val,earn,0.26661407947540283,,
TASK_DECODER_NO_STATIC,no_static,val,emp,,0.8257911243197318,0.5937999256584643
TASK_DECODER_NO_STATIC,no_static,val,mar,,0.7507876185272823,0.431930571168629
TASK_DECODER_TRANSFORMER,full_inputs,test,earn,0.3669713959097862,,
TASK_DECODER_TRANSFORMER,full_inputs,test,emp,,0.82542323450815,0.602370940267793
TASK_DECODER_TRANSFORMER,full_inputs,test,mar,,0.7644379189260131,0.4035356674675144
TASK_DECODER_TRANSFORMER,full_inputs,val,earn,0.29505649209022516,,
TASK_DECODER_TRANSFORMER,full_inputs,val,emp,,0.8114671625719766,0.5788463883499184
TASK_DECODER_TRANSFORMER,full_inputs,val,mar,,0.762155635801709,0.36387714528234993
