ID,split
4007,test
4031,val
4034,val
5003,val
5004,val
5005,val
5170,train
6030,test
6174,train
7033,val
7034,train
10006,test
10007,train
10030,test
10177,train
14004,val
14172,test
14173,train
16003,train
16004,test
18030,train
18031,train
18185,train
22004,train
22173,train
23030,val
23031,val
39003,train
39030,test
39171,test
39174,test
40003,test
40004,val
40005,test
40170,test
40173,train
41008,train
45030,train
47004,train
47005,test
47031,val
47032,train
47170,test
47174,val
50004,val
50005,train
50030,val
50171,val
51030,test
51171,train
53007,test
53008,val
53009,val
53010,test
53191,val
57005,test
60030,train
60031,test
60032,test
60181,train
68003,val
68175,train
75005,train
75030,train
75171,test
84005,train
84177,train
89006,val
90003,train
90004,test
90171,train
92003,train
96005,train
96173,train
99171,val
100030,train
105030,val
113030,train
113172,test
117003,train
117030,train
117172,val
121173,train
122003,train
122004,train
122173,test
126003,train
126177,test
127030,train
127031,val
128003,train
128004,train
128005,test
128006,test
128172,val
129031,test
129196,val
131030,val
138030,test
138031,val
139002,train
145003,train
145170,val
151030,train
156030,val
156170,train
161004,train
165030,val
172031,train
174175,train
178171,train
180171,val
181171,test
195003,test
195170,train
198173,test
200005,test
214003,val
214170,train
220002,val
220170,train
221031,train
221171,train
222031,train
222032,val
223030,val
223031,train
223173,val
227003,train
236003,train
236030,train
236173,train
244030,test
250003,train
250004,train
250171,test
257030,train
257174,val
257175,test
263030,test
263175,val
263182,train
265030,val
266030,train
266173,test
277031,train
277176,train
277191,train
280004,train
280005,train
280172,train
284004,test
284170,train
297011,train
297031,train
297177,val
297182,train
301030,val
301032,train
301177,train
302030,test
303030,train
306003,train
312030,test
312031,train
317030,val
317173,train
319003,train
319004,val
319172,val
320170,test
321005,train
322003,val
327003,train
327030,train
327031,val
327171,train
327172,train
331005,train
343030,train
343171,val
343172,train
344005,train
344006,test
344178,test
344183,train
350003,test
350170,test
351006,test
351173,train
352030,val
352031,test
356003,test
356177,train
361004,train
361175,train
368003,train
368030,test
375004,test
376003,train
376004,train
377004,val
377170,test
404174,val
409030,test
409178,train
419004,train
419030,test
419031,train
423173,train
431004,train
431005,test
432031,train
433008,test
433030,val
433170,train
436030,val
441030,train
445030,train
450030,val
452030,test
452031,train
452035,val
452177,train
455030,train
455180,train
461030,val
461171,test
465030,train
473004,test
473171,val
473172,val
473177,val
478030,train
478032,test
478033,val
478034,train
478179,train
479170,val
486004,train
486171,train
487005,test
490172,test
495030,train
495032,test
495033,test
495170,test
496185,train
503030,train
503031,test
508003,train
508004,train
508172,train
510030,test
510170,test
514030,val
514172,test
517005,test
517008,train
534030,test
534031,val
534171,train
544030,test
544170,test
548009,train
548176,train
548182,train
548183,test
557030,train
557175,train
563007,val
563183,val
563193,train
565004,val
565173,val
573004,train
577004,val
577174,test
582030,train
586003,val
586004,train
593003,train
593004,train
593170,train
593171,train
595030,test
595031,train
597176,test
602030,train
602031,val
605003,train
607007,train
607030,train
607032,train
608033,train
610003,val
613005,val
613006,test
613173,test
618004,test
618170,train
620006,train
626003,train
626004,train
626034,train
628030,train
631030,train
632003,test
633030,val
633031,train
634005,val
634006,val
634007,val
634008,test
634173,train
634175,test
639177,train
641176,val
644030,train
649003,test
649030,test
649171,test
649172,train
650172,train
652005,val
652006,train
652171,val
652173,test
654003,train
655003,train
655004,val
655172,val
656005,test
656173,train
657005,train
660030,train
671030,test
672003,train
672030,train
673030,train
673031,train
674003,val
674005,val
674170,train
674171,test
677030,test
687005,test
691003,train
691006,val
691171,test
691172,train
691175,val
692004,train
692007,test
692174,train
698006,test
698007,train
698171,test
699004,test
699031,train
700003,train
700030,test
702030,train
702031,train
704003,val
706007,val
707003,train
707171,train
709006,train
709007,train
711003,train
711004,train
713007,train
713033,val
713175,test
713176,test
713185,test
717004,train
717176,val
719031,train
722030,val
722178,train
722179,test
729005,train
729006,test
729030,train
731032,train
733005,val
734004,val
734005,train
734172,train
737170,train
738003,val
738030,train
738172,val
749003,val
750004,test
750005,val
750030,train
750170,train
750174,val
751030,test
751031,train
751178,train
751183,train
762003,train
762004,val
762030,train
762170,train
762172,train
769003,train
769004,train
769173,train
769174,val
771003,test
771030,train
773003,train
773004,train
773170,val
773173,train
774171,test
775004,test
775005,train
775030,train
776003,train
779030,train
782003,test
783003,train
783004,val
783030,test
783171,val
783172,test
784004,test
789030,test
796005,val
796006,train
808031,test
817003,val
817030,train
826003,test
826004,test
828030,train
832003,train
832030,val
832172,test
833005,train
833006,val
833030,train
